Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	O	59568				16094.8	39993.0	#N/A	#N/A	5374	10.6	23.3	0.01%	0.66	5.46	5.46	1.00	0.010	0.089	0.164	0.039	8.302	0.041	0.134	0.251	0.048	12.424		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	60.17%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59569				15896.3	39994.0	#N/A	#N/A	5259	4.3	36.0	0.01%	0.64	5.50	8.54	1.55	0.004	0.055	0.102	0.023	7.928	0.050	0.140	0.265	0.050	20.215		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	73.54%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59570				15571.7	39996.5	#N/A	#N/A	#N/A	2.0	29.3	0.02%	0.64	5.40	7.47	1.38	0.012	0.083	0.144	0.026	9.673	0.081	0.182	0.264	0.049	21.313		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	70.43%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	F	59571				16299.3	39996.5	#N/A	#N/A	5318	5.5	25.8	0.07%	0.46	4.21	9.18	2.18	0.035	0.149	0.262	0.055	15.362	0.023	0.104	0.238	0.055	10.697		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	97.00%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	59572				15552.7	39998.0	#N/A	#N/A	5372	6.8	21.8	0.01%	0.68	5.11	5.46	1.07	0.047	0.119	0.165	0.025	10.317	0.108	0.364	0.570	0.134	31.683		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	84.50%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	NL	59573				15581.2	39998.5	#N/A	#N/A	#N/A	0.5	19.0	0.01%	0.74	4.50	5.51	1.22	0.010	0.052	0.168	0.035	3.971	0.060	0.104	0.170	0.030	7.880		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	62.43%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59574				15607.7	39998.5	#N/A	#N/A	5372	4.9	28.3	0.02%	0.73	5.51	6.52	1.18	0.031	0.079	0.124	0.018	8.973	0.072	0.150	0.232	0.039	16.966		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	52.28%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59575				15890.8	39998.5	#N/A	#N/A	#N/A	1.0	28.0	0.01%	0.67	5.45	6.87	1.26	0.030	0.079	0.135	0.022	8.858	0.167	0.278	0.402	0.069	31.096		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	93.77%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59576				16184.8	39998.5	#N/A	#N/A	5372	15.0	14.8	0.01%	0.82	4.00	4.50	1.12	0.051	0.132	0.201	0.040	7.792	0.029	0.182	0.407	0.091	10.753		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	64.49%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59577				16042.8	40000.5	#N/A	#N/A	5374	3.6	21.8	0.01%	0.68	4.50	6.50	1.44	0.051	0.122	0.185	0.031	10.571	0.004	0.041	0.084	0.020	3.582		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	51.87%	
